sentence,spoiler,page,trope
"Notable one-offs included Richard Kiley, Robert Conrad, Ruth Gordon, Janet Leigh and Leonard Nimoy... oh, and the first  Mystery Movie  episode (""Murder by the Book"") was directed by some random  wunderkind  named  Spielberg .",FALSE,Columbo,IrregularSeries
"Though he generally settles on his horse from the outset, he never lets on, instead worming his way into their confidence via fawning adulation, begging their assistance as he ""solves"" the case.",FALSE,Columbo,IrregularSeries
"Columbo has solved every case put before him onscreen (he sometimes claims that he only solves about a third total, but this could well be part of the humility act) and hasn't gotten his man only once   in which case the perp was dying anyway.",FALSE,Columbo,IrregularSeries
"To show the subsequent arrest and trial might be interesting in a lot of cases, but would be entirely superfluous in all of them.",FALSE,Columbo,IrregularSeries
"A ""finale"" TV movie was planned and written, but  ABC refused to insure it due to Falk's age and subsequent declining mental health , and Falk died in 2011 with the last script still in limbo.",FALSE,Columbo,IrregularSeries
"Columbo  provides examples of:   Absence of Evidence The episode called ""The Most Crucial Game"" has the culprit caught when  Columbo found that the phone call the killer claimed to have made at 2:29 pm in his stadium box (and recorded by a bug on the line)  lacked  the sound of the half-hour chime of the anniversary clock in the box .",TRUE,Columbo,IrregularSeries
"Martin Landau as twins (one of whom is the murderer) in ""Double Shock"", one of the very few episodes where the real killer is unknown until the end.",TRUE,Columbo,ActingForTwo
"Beyond  being a convenient plot coupon for the killer to swap the medications and kill the victim,  it makes no sense for a hospital to have outside drugs brought in when they likely had stock on hand.",TRUE,Columbo,ArtisticLicenseMedicine
"Some of these were extremely daring, especially in  ""Columbo Goes to the Guillotine"" , in which Columbo hatches a  Batman Gambit  that requires the murderer to try to kill him.",TRUE,Columbo,BatmanGambit
"There are in fact several episodes where Columbo pulls this trick, but this one was uncommonly gutsy, because  if Columbo had been wrong, and the crook had  not  tried to kill him, he would in fact have died.",TRUE,Columbo,BatmanGambit
In common with many detective series of the period once their creators got bored with the standard milieu.,FALSE,Columbo,BusmansHoliday
Let us all just be very clear on this Mrs Columbo  was  not  Mrs.,FALSE,Columbo,CanonDiscontinuity
"While Columbo had challenged a few big time people over his career, his job could have ended and he'd have been in severe trouble if not for  showing everyone that Montoya was not a great man, was in fact a coward and had killed his friend to try and hide that fact, causing Montoya to surrender.",TRUE,Columbo,DefeatingTheUndefeatable
"This came very close in  A Case Of Immunity  where the murder suspect was a foreign national with diplomatic immunity, and could have had Columbo fired.",TRUE,Columbo,DefeatingTheUndefeatable
"Throughout the majority of Columbo films, ""hell"" and ""damn"" are the extent of the swearing.",FALSE,Columbo,GoshDangItToHeck
Mayfield was the killer and was trying to kill Dr.,FALSE,Columbo,HeroicBSOD
"""Columbo Goes to the Guillotine""   An elaborate setup at the end, tricking Elliott Blake into revealing himself as the killer leads into  Columbo pulling a gun and saying he has to play judge, jury AND executioner.",TRUE,Columbo,HeroicBSOD
"Though the gun was just a bang flag pistol, it probably scared the holy hell out of the killer, though the audience either knew it was a ruse (Columbo hates guns and refuses to carry or fire them unless absolutely necessary) or had been momentarily tricked into thinking he'd lost his mind.",TRUE,Columbo,HeroicBSOD
This entire time his police radio is reporting the chatter of the car following him .,TRUE,Columbo,IdiotBall
"This ends with him slamming on his brakes to avoid hitting one police car, while the one behind his car hits HIM, giving Columbo whiplash.",TRUE,Columbo,IdiotBall
Even for a character known for  Obfuscating Stupidity  the scene plays out to the point of making the character look incompetent.,TRUE,Columbo,IdiotBall
This might be fine if he'd either unplugged the lamp(in the latter case) or had the circuit breaker shut off(in the former- it was a ceiling fixture).,FALSE,Columbo,IdiotBall
Played straight in  Columbo Goes To College  with the massive pool of blood.,FALSE,Columbo,KensingtonGore
"The badge actually does have a full name signed to it-   the name ""Frank Columbo"" is signed onto the badge prop, as still shots from the DVD releases were able to prove.",TRUE,Columbo,NoNameGiven
"However, it's currently debated as to whether or not the name on the badge is canon.",TRUE,Columbo,NoNameGiven
"When Columbo reveals that he has evidence that proves she's lying (thus making her liable as an accomplice to murder), her previously dopey eyes turn ice cold and she turns him in without remorse.",FALSE,Columbo,ObfuscatingStupidity
The man we think is the killer is not.,FALSE,Columbo,OutOfGenreExperience
"This episode also, unusually, has both its murders - the prime suspect is himself murdered - take place offscreen.",TRUE,Columbo,OutOfGenreExperience
"While the previous example was a minor one, ""No Time to Die"" completely went against grain of the series.",TRUE,Columbo,OutOfGenreExperience
It abandoned the usual murder plot and told a story of a kidnapping that played like a psychological thriller.,TRUE,Columbo,OutOfGenreExperience
The story takes place over the course of a single night.,TRUE,Columbo,OutOfGenreExperience
"""Undercover"" plays with this a bit by mixing in the usual Columbo murder mystery with a hunt for pieces of a photograph leading to the location of money stolen from a bank heist years before.",TRUE,Columbo,OutOfGenreExperience
" More than one fan of  Patrick McGoohan's 60's spy show  chuckled when the actor slipped a ""Be seeing you"" into one of his  Columbo  appearances.",FALSE,Columbo,ShoutOut
"During an interview with  WABC's   Mark Simone , Falk was asked after all those years of solving all those high profile cases, why was Columbo  still  a Lieutenant?",FALSE,Columbo,StatusQuoIsGod
"However, this fails to work when Columbo notices that this supposedly expensive watch is a counterfeit knockoff of a name brand watch... which the killer didn't know, as he'd bought the victim the real deal as a gift some time before, and didn't know that the victim had sold it and bought a knockoff.",FALSE,Columbo,StoppedClock
"The murderer kills her controlling brother because he's trying to end the relationship between her and  Leslie Nielsen 's character, who works for him, by threatening to fire him.",FALSE,Columbo,SympatheticMurderer
"A contemporary viewer will get a few chuckles out of:  A killer murdering her husband, then using a dictaphone recording to fake his kidnapping.",FALSE,Columbo,TechnologyPorn
"This seems at first glance to be  an act  but if you observe how he interacts with people he knows well, it turns out he's actually like that all the time.",FALSE,Columbo,TheWonka
Everyone is in the Army.,FALSE,Combat,LastNameBasis
The other main characters include civilian neurosurgeon Dr.,FALSE,CombatHospital,DramaticHourLong
Too drunk to perform surgery?,TRUE,CombatHospital,DramaticHourLong
"Ok, totally subverted, he was in prison .",TRUE,CombatHospital,AsianAndNerdy
Marks feels them   especially when he has to lock up Vans during an investigation into Taliban connections .,TRUE,CombatHospital,TheChainsOfCommanding
All the main characters are seen to be struggling with major psychological issues ranging from Bobby's   anger and rage  to Simon's   alcoholism .,TRUE,CombatHospital,DysfunctionJunction
Possibly  justified  by where they are serving and the horrors they witness and deal with on a regular basis.,TRUE,CombatHospital,DysfunctionJunction
Season 1 ends with   Suzy's memorial  being interrupted by new wounded coming in for the medical staff.,TRUE,CombatHospital,EndingMemorialService
"  Suzy  takes on an armed gunman, while unarmed herself, to prevent others being shot and giving   Rebecca  the time to come in and shoot him.",TRUE,CombatHospital,HeroicSacrifice
Complete with   suicidal little brother who he can't help .,TRUE,CombatHospital,HollywoodAtheist
How Grace justifies herself   traumatising Afghani orphans into revealing their knowledge of Taliban activities  in order to get better outcomes for them.,TRUE,CombatHospital,IDidWhatIHadToDo
Marks threatens to send her back home if she does not pull her head in .,TRUE,CombatHospital,InsufferableGenius
"Rebecca  hides, then slips out the back.",TRUE,CombatHospital,InterruptedIntimacy
Comes out during a friendly hockey game where he beats up a Canadian contractor.,TRUE,CombatHospital,SuppressedRage
  Graham  turns out to be   Ariel's  ex-husband when he's tasked with looking after her when she gets sick.,TRUE,CombatHospital,WorkingWithTheEx
"Things go awry, however, when she invites their mutual acquaintance Abed to their fake study group.",FALSE,Community,HalfHourComedy
"shows a viral epidemic at the campus Halloween party that parodies zombie movies, including shot-for-shot recreations of scenes from  I Am Legend  and  Shaun of the Dead .",FALSE,Community,CommunityS2E06Epidemiology
It  actually  ends up spoofing  My Dinner With Andre .,TRUE,Community,CommunityS2E19CriticalFilmStudies
"By season 3, Jeff/Britta and Troy/Annie ship tease has all but disappeared, with Jeff/Annie becoming the primary source of  Ship Tease  while Troy gets a fair amount of it with both Abed and Britta.",TRUE,Community,AllLoveIsUnrequited
"Abed has a whole subplot entirely in the background in ""The Psychology of Letting Go"" - he refers back to this in ""Applied Anthropology"" when Shirley goes into labor, to widespread confusion among the rest of the study group.",FALSE,Community,BrickJoke
"Subverted  when he uses it in Debate:  his team loses, 50-8 (and the 8 were to Annie) .",TRUE,Community,ChewbaccaDefense
"Fearing pregnancies and the spread of STDs amongst students, he instructs Abed to make an announcement about the condoms over the speaker system.",FALSE,Community,CompletelyMissingThePoint
"Professor Duncan:  No, that wasn't what I w   actually, I don't care.",FALSE,Community,CompletelyMissingThePoint
"""Epidemiology""  gave us   Shirley/Chang .",TRUE,Community,CrackPairing
"However, Brie averts both of these examples as she's currently 27, meaning she was playing someone older than herself and now plays someone younger than herself.",FALSE,Community,DawsonCasting
That's safe.,FALSE,Community,DeadpanSnarker
A conscious effort was made in the first six episodes to focus on each character of the study group in turn for an episode.,FALSE,Community,DebutQueue
The   STD fair and Greendale commercial  are only a few of several examples.,TRUE,Community,EpicFail
"At the end of the episode, it is revealed that  Pierce is actually a genius .",TRUE,Community,Foreshadowing
""" to which Abed bluntly replies ""Yep"", prompting a saddened ""Yeah, me too"", in a high-pitched voice.",FALSE,Community,CommunityS2E17IntroToPoliticalScience
""" He is later the first to figure out that they've been   having secret sex  in  ""Paradigms of Human Memory.",TRUE,Community,CommunityS2E08CooperativeCalligraphy
"Also, Shirley's husband divorced her for a stripper  though they're back together and have another child now , and Pierce has burned through seven wives.",TRUE,Community,HappilyMarried
"The study group is this to the other students, since everything turns out to be about them.",FALSE,Community,HeroOfAnotherStory
":  Abed has one in ""Abed's Uncontrollable Christmas"" after he finds out  his mom started a new family.",TRUE,Community,HeroicBSOD
"He has a second one in ""Biology 101"" after all the characters in ""Cougarton Abbey"" kill themselves after only six episodes.",TRUE,Community,HeroicBSOD
He recovers when Britta shows him  Inspector Spacetime .,TRUE,Community,HeroicBSOD
He needs my help- I gotta get out of here.,FALSE,Community,HypocriticalHumor
What have you done to me?,FALSE,Community,IThinkYouBrokeHim
" Starburns is killed off-screen in a car accident/meth lab explosion  in ""Basic Lupine Urology"".",TRUE,Community,KilledOffForReal
"Played straight a couple of times in ""Physical Education"": Annie:  It's just like  The Notebook - except, instead of Alzheimers, Abed has   Shirley:   (Mm-hmm!",FALSE,Community,LastSecondWordSwap
"The season two DVD packaging reveals the (admittedly minor) spoiler that for much of the season, Shirley  is pregnant .",TRUE,Community,LateArrivalSpoiler
"Britta claims she doesn't have feelings for Jeff, but  choked onstage  when she saw him with an ""official"" girlfriend, Professor Slater, and Troy had to snap her out of it by ""being a friend AND a man.",TRUE,Community,LoveDodecahedron
""" A few episodes later, Jeff and Britta hooked up in the middle of an intense paintball game.",TRUE,Community,LoveDodecahedron
"In the finale of S1, Slater and Britta both declare their love for Jeff, but he leaves and kisses  Annie .",TRUE,Community,LoveDodecahedron
"Meanwhile, Troy and Britta take and drama class together, which leads   Britta kissing Troy .",TRUE,Community,LoveDodecahedron
"Then, it is revealed that   Jeff and Britta had been sleeping together all year .",TRUE,Community,LoveDodecahedron
"Jeff:  All right, all right, maybe we're not a family.",FALSE,Community,LoveDodecahedron
":  In the  Bottle Episode , the reveal that it was   the monkey  who stole the pen seemingly came out of nowhere.",TRUE,Community,MeaningfulBackgroundEvent
"Early in the episode, during the shot where Troy says he wants to lick the puppy dean Pelton is holding, in the background   a tiny monkey hand is seen taking the pen off the table .",TRUE,Community,MeaningfulBackgroundEvent
It is very easy to miss.,TRUE,Community,MeaningfulBackgroundEvent
"For example, the story arc where  Pierce  gets injured in a  wacky accident  on a trampoline... which leads to his being forced to wear  full casts on both legs for a good portion of the season, and become addicted to painkillers which nearly claim both his friendships and his life.",TRUE,Community,MoodWhiplash
"That means   Abed lied about lying about being an extra on  Cougar Town,  although the details are a little different than he described in ""Critical Film Studies"".",TRUE,Community,MutuallyFictional
"Also, Abed and Troy's Alien Queen and Power Loader costumes from  ""Epidemiology.",FALSE,Community,OffTheShelfFX
"""  This comes back to bite Troy  when he attempts to fight off zombies in the power loader, despite it being made of PVC   Troy:  OK, I don't know why I thought this would work.",TRUE,Community,OffTheShelfFX
"Britta came off this way early in Season 1, but  Characterization Marches On .",FALSE,Community,OnlySaneMan
"However,   according to the Britta's psych evaluations in Season 3, Abed is the only one of the group who isn't psychologically insane.",TRUE,Community,OnlySaneMan
"In a bit of possible  Fridge Brilliance , Jeff may be sane after all, since he did fill out his answers at random.",TRUE,Community,OnlySaneMan
"However, Season 3 as a whole seems to be suggesting otherwise.",TRUE,Community,OnlySaneMan
:   Abed (as Batman) dragging Jeff and Pierce out of the library to  Out Run The Collapsing Fort Made Out Of Desks in the Halloween Episode.,TRUE,Community,OutRunTheFireball
"For a study group, they don't do that much studying onscreen - which makes sense, since that would most likely be boring and slow.",FALSE,Community,ThePiratesWhoDontDoAnything
"Typical of this show, they  lampshade  this from time to time, as whenever they are reminded that they have to study, they are reluctant to do so.",FALSE,Community,ThePiratesWhoDontDoAnything
"Shirley:   [furious]  Okay, we get it!",FALSE,Community,PopCulturalOsmosisFailure
"The time when the season takes place (mid-fall through spring, usually with a break in the winter) corresponds with the time that most colleges are in session, even to the point that the mid-season break is the break between fall and winter semesters and the customary re-run period over spring break is the break between winter and spring semesters.",FALSE,Community,ThePresentDay
So doing the episodes in a real-time weekly structure works.,FALSE,Community,ThePresentDay
"""  They wear vibrant blue and pink (respectively) pantsuits, as punishment for the fallout of Shirley and Annie's prank on Seor Chang.",TRUE,Community,RealMenWearPink
"In ""Home Economics"", Abed describes Jeff as being just like Goldie Hawn in overboard - he's wealthy, assertive, arrogant, and gets manicures all the time.",TRUE,Community,RealMenWearPink
:  Annie makes a point of pointing this out when she sarcastically thanks  Jeff and Britta for ruining her love life .,TRUE,Community,SarcasmMode
"In ""Pascal's Triangle Revisited"", Jeff has to choose between  Britta  and  Slater  after both admit they love him.",TRUE,Community,TakeAThirdOption
He chooses  Annie.,TRUE,Community,TakeAThirdOption
" up for grabs: Abed:  We've lost our  Cliff Clavin , our  George Costanza , our  Turtle... or Johnny Drama... or E .",FALSE,Community,Buttmonkey
They watch them to  riff on how bad they are .,FALSE,Community,TheresNoBInMovie
Troy:   Why does she have to be BLACK?,FALSE,Community,TokenMinorityCouple
":  Jeff and Pierce's multi-costumed, multi-propped Spanish presentation, which gets  horrified looks  from the students and  F/F-  grades.",TRUE,Community,WhatDoYouMeanItsNotAwesome
"Ensemble Darkhorse LaBamba is still hanging around, though.",FALSE,Conan,TheBandMinusTheFace
"He then decided to give those people a fake-outHe pushed his breasts together and the camera zoomed in on his ""cleavage"".",FALSE,Conan,GrossUpCloseUp
"This was followed-up with further threatening videos from Will, and a photoshop contest for the fans to portray what was dubbed ""Beardpocalypse"".",FALSE,Conan,ImportantHaircut
Moody piano music played when Andy ran out to the parking lot.,FALSE,Conan,MoodWhiplash
"In an interview with Nicole Scherzinger, Conan is caught looking at Nicole's cleavage and called out on it (to be fair, and as Conan himself pointed out, how could you not?).",FALSE,Conan,MyEyesAreUpHere
"The huge moon in the background of his TBS show can be controlled via remote, and possibly be used to crush Andy Richter.",FALSE,Conan,WeirdMoon
"Throughout, he also maintains lots of weapons or tactics are completely useless in the given situation (like using a heavy greatsword and armor on board a ship, or  riding your sword down a ship sail ).",FALSE,Conquest,CatchPhrase
"They usually get the basics of the topic right, but whether due to lack of budget or time (or both), miss on several details and have to reuse props, even if they're not historically accurate.",FALSE,Conquest,ThemeParkVersion
", peppered across different episodes (Weird Weapons dealt with most of the polearms, Medieval Tournament mentioned the poleaxe, and spears appear here and there)",FALSE,Conquest,BladeOnAStick
"During the final weeks of the 2008 Presidential Campaign, this became a more regular segment called ""Campaign Comment"".",FALSE,CountdownWithKeithOlbermann,Egregious
"He then joined Current Media, and  Countdown  relaunched on  Current TV  on June 20th.",FALSE,CountdownWithKeithOlbermann,Countdown
""" (in reference to Sarah Palin)   Get out your pitchforks and torches, it's time for...   Tonight's... Worst... Person...  In The   Worrrrrrllllllllld!",FALSE,CountdownWithKeithOlbermann,CatchPhrase
"""   Also, unlike  Rachel Maddow  who likes the sport, he shares frequent enemy  Glenn Beck 's hatred of soccer.",FALSE,CountdownWithKeithOlbermann,EnemyMine
"Every person involved seems to have a different story about exactly what happened there, but whatever it was, it's over now!",FALSE,CountdownWithKeithOlbermann,ExecutiveMeddling
Just which partner would be a Heel would likely depend on your political ideology.,FALSE,CountdownWithKeithOlbermann,FoeYay
"Ever since Jon Stewart's  epic   Go *** Yourselves   choir song  Keith substitutes  ""What Jon Stewart said!",FALSE,CountdownWithKeithOlbermann,GettingCrapPastTheRadar
Punditslash has a tendency to put him with Anderson Cooper.,FALSE,CountdownWithKeithOlbermann,CrackFic
Some of the segues from Oddball/Time Marches On back to news content before the commercial break can be pretty jarring.,FALSE,CountdownWithKeithOlbermann,MoodWhiplash
"A significant portion of ""batting practice"" on  Twitter  was spent joking about typos in incoming tweets.",FALSE,CountdownWithKeithOlbermann,YouMakeMeSic
"This show provides examples of:   Aborted Arc  ( Jeff and Jane were implied to have an interest in each other at the end of series 3, but Jeff's actor left the show and this was never mentioned again.",TRUE,Coupling,YourMileageMayVary
")  This was, however,  salvaged for  Oliver  in the fourth series .",TRUE,Coupling,YourMileageMayVary
 (we do not talk about  the Melty Man.,TRUE,Coupling,AnthropomorphicPersonification
"  Susan attempts this with Steve :  ""We never really got 'round to organizing a wedding.",TRUE,Coupling,TheBabyTrap
Thought maybe a whole human being would be easier.,FALSE,Coupling,TheBabyTrap
" (the finale of series 3 had  Patrick and Sally finally getting together , and series 4 gave  Jane a love interest in the form of Jeff's  Suspiciously Similar Substitute )",TRUE,Coupling,CleaningUpRomanticLooseEnds
Sally's reaction to   discovering Patrick's engagement ring .,TRUE,Coupling,ClusterFBomb
"When Susan is in labor in the series finale, she wants to have a natural birth, but tells Steve to ask her three times if she wants the drugs.",FALSE,Coupling,CountryMatters
"Steve has his moments, too.",FALSE,Coupling,DiggingYourselfDeeper
Compared to Susan she's still pretty shallow but she's actually  less insane  and more sensitive to others' feelings than she appears to be.,TRUE,Coupling,HiddenDepths
"She is, however, still an  Attention Whore .",TRUE,Coupling,HiddenDepths
"Susan, on the other hand, is actually  more  shallow than she appears to be.",TRUE,Coupling,HiddenDepths
"Sally:  No it's not, it's homophobic, you stupid queen!",FALSE,Coupling,HypocriticalHumor
"There were several episodes titled ""The [Man/Girl] With [X] [Body part]""",FALSE,Coupling,IdiosyncraticEpisodeNaming
"Patrick Sally, you need someone who'll love you forever, properly.",TRUE,Coupling,IWantMyBelovedToBeHappy
Patrick  ...I was  talking about  me !,TRUE,Coupling,IWantMyBelovedToBeHappy
" (Moffat calls the series ""my life as told by a drunk"")  In a specific example, he says that he wrote ""Inferno"" based on a similar situation where he was caught with porn in his VCR; however, he admits to adding the ""spanking"" part because it made the whole things just a little more twisted.",FALSE,Coupling,LifeEmbellished
"There's dozens of little titbits in this and other scribblings that rely on  One Dialogue, Two Conversations ; here it's used to cement the  Fawlty Towers Plot .",FALSE,Coupling,OneDialogueTwoConversations
"Neatly averted, as most episodes either take place at night or show the characters at or leaving work.",FALSE,Coupling,OneHourWorkWeek
"Oliver also has Doctor Who merchandise in his bookshop, and when going to a dinner with the gang, wears a sweater reading ""Bring Back Doctor Who"" on the back.",FALSE,Coupling,ShoutOut
 (see Crowning Moment of Funny),FALSE,Coupling,ThrowTheDogABone
What is  wrong  with you?,FALSE,CrankYankers,CNN
It's an ensemble cast.,FALSE,CrankYankers,CNN
The short Confucius sketches where he tells a classic dirty joke.,FALSE,CrankYankers,DontExplainTheJoke
"The manager acknowledges his apology, and kindly reassures him that it's okay... which prompts Ed to happily shout, ""I peed in your pool!",FALSE,CrankYankers,PottyFailure
"This show provides examples of:    Badass Driver How many drivers can say they've successfully chased after a speeding semi, dodged falling barrels, then drove up the ramp and boarded the truck?",FALSE,CrashCourse,ABC
How many things will go up in flames?,FALSE,CrashCourse,SerialEscalation
"Contestant I'm just getting hyped up, baby!",FALSE,CrashCourse,Squick
"'s dark and gritty answer to  Miami Vice , set amid the dregs of 1960s Chicago and later Las Vegas.",FALSE,CrimeStory,MichaelMann
This series has examples of the following:   Big Bad Ray Luca is about as big and bad as it gets.,FALSE,CrimeStory,MichaelMann
"A third season never materialized, thus the show ends on a  Cliffhanger .",TRUE,CrimeStory,NoEnding
"  Ray Luca, though it's left somewhat ambiguous whether he is  Back from the Dead , since he is quite clearly blown up in a nuclear bomb test at the end of season one.",TRUE,CrimeStory,NotQuiteDead
In a case of  Chemistry Can Do Anything  he is revived by scientists for reasons unknown.,TRUE,CrimeStory,NotQuiteDead
This plot point is best left ignored.,TRUE,CrimeStory,NotQuiteDead
After   Elle  is shot by the  serial killer  of the week she is left unconscious and bleeding to death.,TRUE,CriminalMinds,AdventuresInComaLand
"During their conversation, Elle's father tells her that the decisions she makes in the plane will make the difference as to whether she lives or dies in real life .",TRUE,CriminalMinds,AdventuresInComaLand
"However,   Hotchner, stabbed multiple times, is not rescued by his teammates, but rather by the  Serial Killer  (called the Reaper) who ambushed him.",TRUE,CriminalMinds,AloneWithThePsycho
The Reaper even takes Hotchner to the hospital to makes sure that Hotchner survives to suffer more.,TRUE,CriminalMinds,AloneWithThePsycho
"But if there were actually that many serial killers out there, no one would ever leave their houses.",FALSE,CriminalMinds,AlwaysMurder
"new killers replacing the old ones, old ones not getting caught or worst of all patterns not even being noticed).",FALSE,CriminalMinds,AlwaysMurder
"While all of this is going on, the victims are still alive and can hear, see and presumably feel  everything - including the wigs being sewn into their scalps, and the slow deterioration of their body under the influence of the drugs.",TRUE,CriminalMinds,AndIMustScream
"There's also what Frank did his victims: injecting them with a drug that left them completely paralyzed, but fully conscious, as he  very slowly  vivisected them.",TRUE,CriminalMinds,AndIMustScream
"The unsub was using support groups to make friends with grieving parents of a local tragedy, then would follow them home, inject them with a paralyzing drug, and set up the fake suicides, all the while explaining to his fully conscious victims that he was just doing what they  wanted  him to do.",TRUE,CriminalMinds,AndIMustScream
"Holy  shit , the idea of   being immobilized, feeling the torture someone's putting you through, getting acid dripped on various parts of you, and having it all videotaped with a running childlike commentary .",TRUE,CriminalMinds,AndIMustScream
"Technically, her life as Emily Prentiss is indeed over.",TRUE,CriminalMinds,TheBadGuyWins
"""Out of the Light"", where not only does a bad guy get away, the team thinks he's innocent.",TRUE,CriminalMinds,TheBadGuyWins
"The Worst Guy loses big time, mostly due to the Not-as-bad Guy  shooting him in the head , but the Not-as-bad Guy is still pretty bad, and gets away with absolutely everything  due to being a valuable witness against more Worse Guys .",TRUE,CriminalMinds,TheBadGuyWins
"""The Fisher King"" features an Ottendorf cipher brought to the Behavioral Analysis Unit by  the UNSUB via Hotch's wife .",TRUE,CriminalMinds,TheBookCipher
The cypher is part of a larger puzzle to find   a girl who's been missing for two years .,TRUE,CriminalMinds,TheBookCipher
The key text is  The Collector  by John Fowles .,TRUE,CriminalMinds,TheBookCipher
"After the Reaper case and the events of ""Nameless, Faceless"", it's only a matter of time before Hotch crosses the  Despair Event Horizon ... which is confirmed by ""100"":   Hotch beats Foyet to death using his bare hands .",TRUE,CriminalMinds,BreakTheCutie
"After getting Alzheimer's, he and his  approval-seeking son  start killing again while he can still do it right.",TRUE,CriminalMinds,TheButcher
"In ""Amplification,"" the climactic scene takes place in what's supposed to be the  Washington D.C.",FALSE,CriminalMinds,CaliforniaDoubling
""" Justified because the caller was using a cell phone.",FALSE,CriminalMinds,TheCallsAreComingFromInsideTheHouse
"The kid who plays a smart-aleck 13-year old sociopathic serial killer from ""Safe Haven"" played essentially the same character on an episode of  Law   Order: Special Victims Unit .",FALSE,CriminalMinds,CastingGag
"Not to mention his talent for artwork, which has also been used in several episodes.",FALSE,CriminalMinds,TheCastShowoff
"Amazing Fun Fact:  UnSub  was also the title of a short-lived series aired in 1989, which the Other Wiki tells us was  ""centered around an elite FBI forensic team that investigates serial murderers and other violent crimes.",FALSE,CriminalMinds,CatchPhrase
Hotch is on the phone with his wife Haley after learning that she and their son Jack are held in hostage by  George Foyet  aka The Reaper.,TRUE,CriminalMinds,CensorshipBySpelling
"The character Penelope Garcia is the technical analyst in both  Criminal Minds  and, its spin-off,  Criminal Minds: Suspect Behavior .",FALSE,CriminalMinds,CharacterOverlap
"Most of them, but it is subverted at least twice (in  ""The Boogeymen"" and ""A Shade of Gray"" ).",TRUE,CriminalMinds,ChildrenAreInnocent
"When  Reid and Hotch are being held hostage at the end of the episode, Hotch tricks the unsub into letting him kick Reid around, so Reid can get the gun out and shoot the unsub.",TRUE,CriminalMinds,ChekhovsGun
"In ""Valhalla"", Reid notices Prentiss is agitated because she's been picking at her fingernails.",TRUE,CriminalMinds,ChekhovsGun
"In ""Lauren"", this turns out to be the key to uncovering Prentiss' secret:   that it's her hand holding the gun in the photo of Declan Doyle's fake assassination .",TRUE,CriminalMinds,ChekhovsGun
"The reason this actually works well is that Brewster herself apparently has this tendency, so if you go back to earlier seasons, Prentiss can indeed be seen picking at her nails in times of stress and it's never pointed out.",TRUE,CriminalMinds,ChekhovsGun
We hear a gunshot and it fades to black.,TRUE,CriminalMinds,CliffHanger
Season 5 -  The Prince of Darkness kidnaps Ellie and leaves Morgan incapacitated and Spicer dead.,TRUE,CriminalMinds,CliffHanger
Season 6 doesn't have a cliffhanger in the same vein as the other seasons- the case is wrapped up in one episode.,TRUE,CriminalMinds,CliffHanger
"In the first case, Bale was unable to resist the opportunity to try and trick the team into blowing up a potential victim.",FALSE,CriminalMinds,ConsultingAConvictedKiller
"In the second,  the guy hired the copycats so the BAU would have to consult with him , which gave him an opportunity to escape.",TRUE,CriminalMinds,ConsultingAConvictedKiller
"says that she and Will make it work, but when they are called into work less than a minute later Emily dejectedly remarks that she should get a cat.",FALSE,CriminalMinds,ContinuityNod
"In the ten years he stopped killing, he memorized the schematics of every jail, holding facility and courthouse in Massachusetts so that when he got caught (which was also self-organized), he would escape to taunt and terrorize another day.",TRUE,CriminalMinds,CrazyPrepared
"He also  lampshades  it when he says to Hotch:    ""Do you know how much you have to study the human body to stab yourself repeatedly and not die?",TRUE,CriminalMinds,CrazyPrepared
"I don't want to brag, but I'm something of an expert.",TRUE,CriminalMinds,CrazyPrepared
""" , referring to the manner in which Foyet faked his own attack and threw the police/FBI off the scent for ten years .",TRUE,CriminalMinds,CrazyPrepared
"In ""Masterpiece"" by Professor Rothschild/ Henry Grace , who  used clues and a ""live video feed"" of torture to lead the team into a trap .",TRUE,CriminalMinds,CriminalMindGames
"Luckily, Reid's  Good With Numbers  combined with Rossi's  Out Gambit  turned the UnSub's severe OCD around to figure that out.",TRUE,CriminalMinds,CriminalMindGames
"  May Walden, the actress mom in ""Reflection of Desire"", is able to belittle and sexually harass her son from beyond the grave.",TRUE,CriminalMinds,DeadAllAlong
"Played with in ""Cradle to Grave"", where   the UnSub and his wife  are killing the girls  after  they give birth, if it's a baby girl.",TRUE,CriminalMinds,DeathByChildbirth
"Recently Matthew Gray Gubler got to take the directing skills he's honed on other projects and direct episodes of the show (""Mosley Lane"", ""Lauren"").",FALSE,CriminalMinds,DirectedByCastMember
"Inverted by ""Pleasure is My Business"", where the unsub is a prostitute.",FALSE,CriminalMinds,DisposableSexWorker
"Super Empowering The ending implies that she might have been ""encouraging"" them   possibly unawares to the first (executed) boyfriend, but when your copycat boyfriend kills four women in one day  just to make you a nice wig  you may as well embrace your ""gift"".",TRUE,CriminalMinds,DoomMagnet
"""Empty Planet"" refers to an  in-universe science-fiction novel   and to what the unsub thinks the world is being turned into, due to the proliferation of machine technology - courtesy of his delusions inspired by the aforementioned book .",TRUE,CriminalMinds,DoubleMeaningTitle
" Hotch met Haley when they were both in a high school production of ""Pirates.",TRUE,CriminalMinds,GilbertAndSullivan
" movie of the same name -  privileged, apparently straight-edge kids get into trouble behind their parents' backs, to hilarity in the film's case and to their deaths in the episode  - as well as echoing the notion of a victim being high or low risk, which is brought up several times over the course of the series.",TRUE,CriminalMinds,TomCruise
